Date,UST 2Y,UST 5Y,UST 10Y,UST 30Y,US 1Y1Y,US 2Y1Y,US 3Y1Y,US 4Y1Y,US 5Y1Y,US 10Y1Y,US 1Y1Y,US 2Y2Y,US 5Y5Y,DE 2Y,DE 5Y,DE 10Y,DE 30Y,EU 1Y1Y,EU 2Y1Y,EU 2Y2Y,EU 5Y5Y
1/2/2024,4.328,3.924,3.944,4.084,3.454,3.177,3.185,3.26,3.351,3.59,3.43,3.141,3.412,2.454,1.988,2.064,2.31,1.931,1.838,1.891,2.425
1/3/2024,4.318,3.892,3.907,4.057,3.459,3.162,3.17,3.242,3.338,3.594,3.441,3.169,3.424,2.411,1.935,2.016,2.27,1.86,1.754,1.82,2.375
1/4/2024,4.382,3.973,3.991,4.135,3.557,3.27,3.275,3.336,3.438,3.679,3.535,3.275,3.514,2.519,2.042,2.105,2.336,2.035,1.922,1.971,2.487
1/5/2024,4.391,4.008,4.042,4.2,3.578,3.312,3.323,3.393,3.49,3.741,3.547,3.326,3.571,2.568,2.092,2.143,2.362,2.103,1.99,2.039,2.518
1/8/2024,4.345,3.956,4.002,4.174,3.563,3.302,3.336,3.401,3.489,3.733,3.549,3.321,3.584,2.545,2.065,2.123,2.356,2.043,1.922,1.979,2.487
1/9/2024,4.373,3.977,4.017,4.184,3.55,3.29,3.307,3.371,3.475,3.745,3.527,3.299,3.569,2.608,2.135,2.189,2.417,2.126,2.005,2.045,2.532
1/10/2024,4.371,3.981,4.03,4.2,3.535,3.282,3.303,3.372,3.476,3.762,3.518,3.288,3.584,2.651,2.168,2.213,2.426,2.163,2.04,2.082,2.551
1/11/2024,4.26,3.891,3.975,4.18,3.406,3.203,3.247,3.335,3.446,3.736,3.379,3.217,3.544,2.633,2.158,2.207,2.43,2.135,2.023,2.068,2.539
1/12/2024,4.138,3.832,3.95,4.198,3.291,3.168,3.226,3.319,3.424,3.732,3.275,3.168,3.536,2.515,2.072,2.144,2.39,2.016,1.945,2.015,2.524
1/15/2024,4.138,3.832,3.95,4.198,3.291,3.168,3.226,3.319,3.424,3.732,3.316,3.155,3.536,2.589,2.138,2.198,2.433,2.059,1.978,2.034,2.535
1/16/2024,4.228,3.944,4.066,4.305,3.379,3.259,3.36,3.463,3.556,3.856,3.359,3.304,3.676,2.591,2.144,2.214,2.456,2.075,2.018,2.071,2.598
1/17/2024,4.354,4.024,4.104,4.312,3.558,3.37,3.422,3.505,3.586,3.856,3.541,3.349,3.673,2.688,2.234,2.273,2.47,2.168,2.094,2.131,2.571
1/18/2024,4.357,4.049,4.144,4.372,3.55,3.397,3.474,3.561,3.649,3.922,3.534,3.434,3.739,2.686,2.253,2.309,2.509,2.186,2.139,2.181,2.651
1/19/2024,4.408,4.072,4.146,4.354,3.597,3.411,3.47,3.544,3.637,3.888,3.575,3.441,3.699,2.728,2.279,2.305,2.49,2.243,2.169,2.181,2.598
1/22/2024,4.376,4.015,4.094,4.316,3.579,3.377,3.429,3.511,3.606,3.888,3.56,3.398,3.699,2.691,2.231,2.258,2.457,2.181,2.102,2.142,2.578
1/23/2024,4.385,4.051,4.142,4.379,3.562,3.387,3.46,3.558,3.647,3.926,3.537,3.419,3.738,2.713,2.264,2.349,2.539,2.212,2.141,2.194,2.648
1/24/2024,4.378,4.085,4.178,4.413,3.614,3.443,3.512,3.604,3.7,3.973,3.589,3.469,3.787,2.71,2.254,2.335,2.517,2.204,2.134,2.166,2.638
1/25/2024,4.314,4.017,4.132,4.381,3.513,3.361,3.45,3.548,3.659,3.93,3.486,3.401,3.757,2.616,2.181,2.283,2.491,2.088,2.041,2.092,2.595
1/26/2024,4.365,4.061,4.16,4.39,3.581,3.395,3.467,3.56,3.659,3.939,3.556,3.426,3.754,2.63,2.194,2.297,2.509,2.12,2.071,2.102,2.6
1/29/2024,4.322,3.993,4.091,4.335,3.534,3.338,3.396,3.488,3.592,3.873,3.509,3.367,3.679,2.476,2.129,2.238,2.476,2.045,1.99,2.035,2.545
1/30/2024,4.359,3.997,4.057,4.278,3.561,3.335,3.359,3.423,3.524,3.794,3.534,3.341,3.606,2.527,2.17,2.273,2.504,2.097,2.036,2.08,2.56
1/31/2024,4.229,3.88,3.965,4.215,3.385,3.167,3.222,3.303,3.407,3.711,3.363,3.187,3.508,2.4092,2.042,2.161,2.399,1.998,1.934,1.965,2.486
2/1/2024,4.194,3.799,3.863,4.103,3.391,3.163,3.197,3.258,3.363,3.641,3.359,3.181,3.466,2.422,2.037,2.14,2.364,2.034,1.941,1.979,2.452
2/2/2024,4.37,3.993,4.031,4.227,3.597,3.342,3.353,3.405,3.489,3.729,3.567,3.344,3.567,2.5447,2.151,2.229,2.432,2.152,2.036,2.065,2.511
2/5/2024,4.472,4.122,4.164,4.345,3.728,3.486,3.509,3.565,3.631,3.847,3.708,3.487,3.701,2.6234,2.245,2.324,2.524,2.201,2.089,2.133,2.584
2/6/2024,4.408,4.044,4.092,4.296,3.628,3.39,3.399,3.452,3.55,3.792,3.613,3.404,3.643,2.605,2.22,2.298,2.515,2.175,2.053,2.094,2.555
2/7/2024,4.422,4.059,4.108,4.309,3.676,3.437,3.44,3.48,3.572,3.82,3.656,3.446,3.665,2.618,2.226,2.301,2.524,2.236,2.112,2.147,2.583
2/8/2024,4.456,4.124,4.17,4.377,3.726,3.503,3.51,3.557,3.638,3.856,3.699,3.488,3.696,2.6663,2.286,2.356,2.569,2.284,2.164,2.195,2.604
2/9/2024,4.488,4.151,4.187,4.381,3.761,3.532,3.531,3.577,3.653,3.869,3.732,3.528,3.727,2.723,2.332,2.38,2.57,2.329,2.205,2.231,2.599
2/12/2024,4.47,4.128,4.17,4.37,3.746,3.516,3.524,3.578,3.65,3.881,3.718,3.512,3.727,2.704,2.312,2.366,2.562,2.286,2.166,2.192,2.586
2/13/2024,4.656,4.318,4.316,4.467,4.012,3.743,3.703,3.72,3.779,3.944,3.973,3.709,3.82,2.772,2.354,2.392,2.552,2.38,2.226,2.242,2.61
2/14/2024,4.578,4.247,4.267,4.448,3.907,3.654,3.626,3.646,3.726,3.93,3.881,3.63,3.777,2.748,2.313,2.349,2.516,2.299,2.145,2.168,2.526
2/15/2024,4.568,4.217,4.24,4.421,3.891,3.623,3.603,3.617,3.689,3.911,3.866,3.603,3.751,2.7619,2.327,2.352,2.517,2.337,2.184,2.187,2.552
2/16/2024,4.656,4.288,4.295,4.449,3.957,3.683,3.644,3.652,3.728,3.923,3.941,3.667,3.792,2.8279,2.387,2.4,2.538,2.418,2.243,2.248,2.562
2/19/2024,4.656,4.288,4.295,4.449,3.957,3.683,3.644,3.652,3.728,3.923,3.941,3.667,3.792,2.834,2.385,2.411,2.566,2.416,2.248,2.248,2.602
2/20/2024,4.612,4.251,4.275,4.449,3.924,3.65,3.633,3.655,3.733,3.939,3.9,3.644,3.798,2.7963,2.345,2.37,2.532,2.371,2.208,2.212,2.576
2/21/2024,4.653,4.299,4.323,4.492,3.993,3.708,3.683,3.695,3.771,3.98,3.969,3.692,3.827,2.86,2.414,2.44,2.584,2.448,2.281,2.283,2.633
2/22/2024,4.714,4.331,4.327,4.462,4.046,3.732,3.692,3.696,3.763,3.949,4.02,3.706,3.812,2.9115,2.44,2.435,2.553,2.539,2.326,2.297,2.585
2/23/2024,4.69,4.285,4.26,4.38,4.01,3.659,3.599,3.584,3.656,3.841,3.991,3.621,3.69,2.865,2.375,2.362,2.495,2.423,2.208,2.2,2.498
2/26/2024,4.74,4.2956,4.299,4.418,4.053,3.69,3.614,3.602,3.67,3.858,4.025,3.65,3.725,2.918,2.442,2.43,2.565,2.525,2.306,2.288,2.594
2/27/2024,4.712,4.322,4.315,4.44,4.061,3.695,3.631,3.627,3.696,3.892,4.037,3.667,3.748,2.929,2.464,2.455,2.598,2.534,2.315,2.302,2.607
2/28/2024,4.648,4.273,4.274,4.41,3.99,3.655,3.59,3.592,3.665,3.877,3.966,3.625,3.726,2.927,2.471,2.461,2.591,2.52,2.313,2.303,2.595
