InternalName,DisplayName,AssetClass,YahooTicker,ReturnMethod,Family,Subfamily,DefaultCore,DemoSize,DemoStrategy,Notes
SPX,S&P 500,Equity,^GSPC,pct_change,US Equities,Broad Index,TRUE,0.01,SPX,
NDX,Nasdaq 100,Equity,^NDX,pct_change,US Equities,Broad Index,FALSE,,,
RUT,Russell 2000,Equity,^RUT,pct_change,US Equities,Broad Index,FALSE,,,
SOX,PHLX Semiconductor,Equity,^SOX,pct_change,US Equities,Broad Index,FALSE,,,
NVDA,NVIDIA,Equity,NVDA,pct_change,US Equities,US Mega Cap Tech,FALSE,,,
AVGO,Broadcom,Equity,AVGO,pct_change,US Equities,US Mega Cap Tech,FALSE,,,
MSFT,Microsoft,Equity,MSFT,pct_change,US Equities,US Mega Cap Tech,FALSE,,,
AMZN,Amazon,Equity,AMZN,pct_change,US Equities,US Mega Cap Tech,FALSE,,,
GOOGL,Alphabet Class A,Equity,GOOGL,pct_change,US Equities,US Mega Cap Tech,FALSE,,,
META,Meta Platforms,Equity,META,pct_change,US Equities,US Mega Cap Tech,FALSE,,,
AAPL,Apple,Equity,AAPL,pct_change,US Equities,US Mega Cap Tech,FALSE,,,
TSLA,Tesla,Equity,TSLA,pct_change,US Equities,US Mega Cap Tech,FALSE,,,
ORCL,Oracle,Equity,ORCL,pct_change,US Equities,US Mega Cap Tech,FALSE,,,
AMD,Advanced Micro Devices,Equity,AMD,pct_change,US Equities,US Semis,FALSE,,,
MU,Micron Technology,Equity,MU,pct_change,US Equities,US Semis,FALSE,,,
JPM,JPMorgan Chase,Equity,JPM,pct_change,US Equities,US Financials,FALSE,,,
GS,Goldman Sachs,Equity,GS,pct_change,US Equities,US Financials,FALSE,,,
BAC,Bank of America,Equity,BAC,pct_change,US Equities,US Financials,FALSE,,,
V,Visa,Equity,V,pct_change,US Equities,US Financials,FALSE,,,
WMT,Walmart,Equity,WMT,pct_change,US Equities,US Consumer,FALSE,,,
COST,Costco,Equity,COST,pct_change,US Equities,US Consumer,FALSE,,,
HD,Home Depot,Equity,HD,pct_change,US Equities,US Consumer,FALSE,,,
MCD,McDonald's,Equity,MCD,pct_change,US Equities,US Consumer,FALSE,,,
CAT,Caterpillar,Equity,CAT,pct_change,US Equities,US Industrials,FALSE,,,
GE,GE Aerospace,Equity,GE,pct_change,US Equities,US Industrials,FALSE,,,
BA,Boeing,Equity,BA,pct_change,US Equities,US Industrials,FALSE,,,
XOM,ExxonMobil,Equity,XOM,pct_change,US Equities,US Energy,FALSE,,,
CVX,Chevron,Equity,CVX,pct_change,US Equities,US Energy,FALSE,,,
LLY,Eli Lilly,Equity,LLY,pct_change,US Equities,US Healthcare,FALSE,,,
UNH,UnitedHealth,Equity,UNH,pct_change,US Equities,US Healthcare,FALSE,,,
SP400,S&P MidCap 400,Equity,,pct_change,Equity Indices,US,FALSE,,,No reliable Yahoo ticker
SX5E,Euro Stoxx 50,Equity,^STOXX50E,pct_change,Equity Indices,Europe,FALSE,,,
CAC,CAC 40,Equity,^FCHI,pct_change,Equity Indices,Europe,FALSE,,,
KOSPI,KOSPI Composite,Equity,^KS11,pct_change,Equity Indices,APAC,FALSE,,,
HSCE,Hang Seng China Enterprises,Equity,,pct_change,Equity Indices,APAC,FALSE,,,Not the same as ^HSI
EUR,EUR/USD,FX,EURUSD=X,pct_change,FX,G10,TRUE,0.02,EURUSD,
JPY,USD/JPY,FX,JPY=X,pct_change,FX,G10,FALSE,,,
AUD,AUD/USD,FX,AUDUSD=X,pct_change,FX,G10,FALSE,,,
EURGBP,EUR/GBP,FX,EURGBP=X,pct_change,FX,G10,FALSE,,,
EURSEK,EUR/SEK,FX,EURSEK=X,pct_change,FX,G10,FALSE,,,
EURNOK,EUR/NOK,FX,EURNOK=X,pct_change,FX,G10,FALSE,,,
EURCHF,EUR/CHF,FX,EURCHF=X,pct_change,FX,G10,FALSE,,,
CAD,USD/CAD,FX,CAD=X,pct_change,FX,G10,FALSE,,,
BRL,USD/BRL,FX,BRL=X,pct_change,FX,EM,FALSE,,,
MXN,USD/MXN,FX,MXN=X,pct_change,FX,EM,FALSE,,,
ZAR,USD/ZAR,FX,ZAR=X,pct_change,FX,EM,FALSE,,,
CNH,USD/CNH,FX,CNH=X,pct_change,FX,EM,FALSE,,,
NOKSEK,NOK/SEK,FX,NOKSEK=X,pct_change,FX,G10,FALSE,,,
AUDNZD,AUD/NZD,FX,AUDNZD=X,pct_change,FX,G10,FALSE,,,
CHF,USD/CHF,FX,CHF=X,pct_change,FX,G10,FALSE,,,Legacy — PM order prefers EURCHF cross
GBP,GBP/USD,FX,GBPUSD=X,pct_change,FX,G10,FALSE,,,Legacy — PM order prefers EURGBP cross
NOK,USD/NOK,FX,NOK=X,pct_change,FX,G10,FALSE,,,Legacy — PM order prefers EURNOK cross
NZD,NZD/USD,FX,NZDUSD=X,pct_change,FX,G10,FALSE,,,Legacy — PM order prefers AUDNZD cross
SEK,USD/SEK,FX,SEK=X,pct_change,FX,G10,FALSE,,,Legacy — PM order prefers EURSEK cross
CZK,USD/CZK,FX,CZK=X,pct_change,FX,EM,FALSE,,,Legacy
UST 2Y,US Treasury 2Y Yield,Rate,,neg_dyield,Rates,US Curve,FALSE,,,No 2Y series on Yahoo
UST 5Y,US Treasury 5Y Yield,Rate,^FVX,neg_dyield,Rates,US Curve,FALSE,,,
UST 10Y,US Treasury 10Y Yield,Rate,^TNX,neg_dyield,Rates,US Curve,TRUE,0.20,US10Y,
UST 30Y,US Treasury 30Y Yield,Rate,^TYX,neg_dyield,Rates,US Curve,FALSE,,,
DE 2Y,German Bund 2Y Yield,Rate,,neg_dyield,Rates,EU Curve,FALSE,,,
DE 5Y,German Bund 5Y Yield,Rate,,neg_dyield,Rates,EU Curve,FALSE,,,
DE 10Y,German Bund 10Y Yield,Rate,,neg_dyield,Rates,EU Curve,FALSE,,,
DE 30Y,German Bund 30Y Yield,Rate,,neg_dyield,Rates,EU Curve,FALSE,,,
US 1Y1Y,US 1Y1Y Forward,Rate,,neg_dyield,Rates,US Curve,FALSE,,,Forward not on Yahoo
US 2Y1Y,US 2Y1Y Forward,Rate,,neg_dyield,Rates,US Curve,FALSE,,,Forward not on Yahoo
US 3Y1Y,US 3Y1Y Forward,Rate,,neg_dyield,Rates,US Curve,FALSE,,,Forward not on Yahoo
US 4Y1Y,US 4Y1Y Forward,Rate,,neg_dyield,Rates,US Curve,FALSE,,,Forward not on Yahoo
