Name,Ticker,GICS Level 1 Sector,GICS Level 2 Sector,Port. Weight,SedolChk,ISIN,NTM_PE,Est 3-5 Yr EPS Growth,ROE,Operating Margin,P/E using FY1 Est ( Incl. Negative Values ),Dividend Yield,Price to Book,Market Capitalization,Quarter Report Date Standard Deviation - Historical,Quarter Report Date - Historical,Quarter Mean Estimate - Historical,Latest Quarter Mean Estimate,Latest Quarter Actual EPS,PEG using FY1 Est,sed,RIC Code,Company Common Name,GICS Sector Name,GICS Industry Group Name,GICS Sub-Industry Name,Company Market Cap,Price Close,1-day Price PCT Change,2-day Price PCT Change,1 Week Total Return,1 Month Total Return,3 Month Total Return,6 Month Total Return,52 Week Total Return,YTD Total Return,"AVG(TR.Volume(SDate=0D,EDate=0D-29D))",Return On Equity - Mean,P/E (Daily Time Series Ratio),"TR.PRICECLOSE(SDate=0D,Curn=USD)/TR.EPSMEAN(Period=NTM,SDate=0D,Curn=USD)","TR.PRICECLOSE(SDate=0D,Curn=USD)/TR.EPSMEAN(Period=FY2022,SDate=0D,Curn=USD)","TR.PRICECLOSE(SDate=0D,Curn=USD)/TR.BVPSMEAN(Period=NTM,SDate=0D,Curn=USD)","TR.EPSMEAN(Period=NTM,SDate=0D,Curn=USD)/TR.EPSMEAN(Period=NTM,SDate=-60D,Curn=USD)-1","TR.EPSMEAN(Period=CY2022,SDate=0D,Curn=USD)/TR.EPSMEAN(Period=CY2022,SDate=-60D,Curn=USD)-1","TR.EPSMEAN(Period=FY2022,SDate=0D,Curn=USD)/TR.EPSMEAN(Period=FY2019,SDate=0D,Curn=USD)-1",Volatility - 100 days,Dividend yield,Short Interest %,"Relative Valuation P/E, NTM",Earnings Per Share - Mean,Business Description
Apple Inc.,AAPL,Information Technology,Technology Hardware & Equipment,7.62,2046251,US0378331005,33.20,7.9,--,31.51,34.2,0.39,66.94,"3,812,454",0.03,11/01/2024,1.60,1.60,0.97,4.31,2046251,AAPL.OQ,Apple Inc,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",3863453200570.00,252.20,-1.33,-2.63,-1.20,6.27,8.36,20.01,31.63,31.63,17980394.87,191.87,41.55,33.07,41.36,63.67,0.01,0.00,1.09,18.19,0.40,1.04,32.84,7.63,"Apple Inc. designs, manufactures and markets smartphones, personal computers, tablets, wearables and accessories, and sells a variety of related services. Its product categories include iPhone, Mac, iPad, and Wearables, Home and Accessories. Its software platforms include iOS, iPadOS, macOS, watchOS, visionOS, and tvOS. Its services include advertising, AppleCare, cloud services, digital content and payment services. The Company operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games and podcasts. It also offers digital content through subscription-based services, including Apple Arcade, Apple Fitness+, Apple Music, Apple News+, and Apple TV+. Its products include iPhone 16 Pro, iPhone 16, iPhone 15, iPhone 14, iPhone SE, MacBook Air, MacBook Pro, iMac, Mac mini, Mac Studio, Mac Pro, iPad Pro, iPad Air, AirPods, AirPods Pro, AirPods Max, Apple TV and Apple Vision Pro."
NVIDIA Corporation,NVDA,Information Technology,Semiconductors & Semiconductor Equipment,6.74,2379504,US67066G1040,32.00,42.0,91.46,54.12,46.5,0.02,51.13,"3,369,605",0.02,11/21/2024,0.75,0.75,0.81,1.11,2379504,NVDA.OQ,NVIDIA Corp,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,3355374900000.00,137.49,0.35,-1.74,-1.56,-0.54,13.22,11.31,177.71,177.71,49508873.87,99.35,54.18,31.95,316.43,19.99,0.15,0.00,1.65,44.96,0.03,1.14,31.15,4.30,"NVIDIA Corporation is a full-stack computing infrastructure company. The Company is engaged in accelerated computing to help solve the challenging computational problems. The Company’s segments include Compute & Networking and Graphics. The Compute & Networking segment includes its Data Center accelerated computing platforms and artificial intelligence (AI) solutions and software; networking; automotive platforms and autonomous and electric vehicle solutions; Jetson for robotics and other embedded platforms, and DGX Cloud computing services. The Graphics segment includes GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure, and solutions for gaming platforms; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics; virtual GPU software for cloud-based visual and virtual computing; automotive platforms for infotainment systems, and Omniverse Enterprise software for building and operating three-dimensional Internet applications."
Microsoft Corporation,MSFT,Information Technology,Software & Services,6.31,2588173,US5949181045,30.12,12.8,37.13,44.64,32.5,0.72,10.98,"3,159,036",0.04,10/31/2024,3.10,3.10,3.30,2.53,2588173,MSFT.OQ,Microsoft Corp,Information Technology,Software & Services,Systems Software,3200939220491.28,424.83,-1.32,-3.03,-2.39,0.32,-1.07,-4.59,13.81,13.81,7937478.70,33.13,35.07,30.34,45.73,7.96,0.02,0.00,1.02,19.76,0.78,0.81,30.22,14.00,"Microsoft Corporation is a technology company. The Company develops and supports software, services, devices, and solutions. The Company’s segments include Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment consists of products and services in its portfolio of productivity, communication, and information services. This segment primarily comprises: Office Commercial, Office Consumer, LinkedIn, and Dynamics business solutions. The Intelligent Cloud segment consists of server products and cloud services, including Azure and other cloud services, SQL Server, Windows Server, Visual Studio, System Center, and related Client Access Licenses (CALs), and Nuance and GitHub; and Enterprise Services, including enterprise support services, industry solutions and Nuance professional services. The More Personal Computing segment primarily comprises Windows, Devices, Gaming, and search and news advertising."
"Amazon.com, Inc.",AMZN,Consumer Discretionary,Consumer Discretionary Distribution & Retail,4.14,2000019,US0231351067,35.47,15.8,17.49,6.54,43.1,--,8.98,"2,326,084",0.07,11/01/2024,1.14,1.14,1.43,2.72,2000019,AMZN.OQ,Amazon.com Inc,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Broadline Retail,2352733713040.00,221.30,-1.09,-2.53,-1.67,6.45,18.77,14.51,45.65,45.65,12636474.33,23.68,47.43,35.75,-1873.68,6.42,0.10,0.00,-1.11,28.21,NULL,0.79,35.50,6.19,"Amazon.com, Inc. provides a range of products and services to customers. The products offered through its stores include merchandise and content it has purchased for resale and products offered by third-party sellers. The Company’s segments include North America, International and Amazon Web Services (AWS). It serves consumers through its online and physical stores and focuses on selection, price, and convenience. Customers access its offerings through its Websites, mobile apps, Alexa, devices, streaming, and physically visiting its stores. It manufactures and sells electronic devices, including Kindle, Fire tablet, Fire TV, Echo, Ring, Blink, and eero, and it develops and produces media content. It serves developers and enterprises of all sizes, including start-ups, government agencies, and academic institutions, through AWS, which offers a broad set of on-demand technology services, including compute, storage, database, analytics, and machine learning, and other services."
Meta Platforms Inc Class A,META,Communication Services,Media & Entertainment,2.58,B7TL820,US30303M1027,23.30,10.9,28.04,37.21,26.1,0.25,9.07,"1,492,290",0.24,10/31/2024,5.25,5.25,6.03,2.40,B7TL820,META.OQ,Meta Platforms Inc,Communication Services,Media & Entertainment,Interactive Media & Services,1514213466978.73,591.24,-1.43,-2.01,-1.44,3.03,3.37,17.46,67.67,67.67,4001609.47,33.67,27.26,23.33,65.08,6.43,0.07,0.00,0.41,24.98,0.34,1.16,23.08,25.34,"Meta Platforms, Inc. builds technology that helps people connect and share, find communities, and grow businesses. The Company’s products enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality (VR) and mixed reality (MR) headsets, and wearables. It operates through two segments: Family of Apps (FoA) and Reality Labs (RL). The FoA segment includes Facebook, Instagram, Messenger, Threads and WhatsApp. The RL includes augmented, mixed and virtual reality related consumer hardware, software, and content. Instagram is a place where people and creators can connect and express themselves through photos, video, and private messaging, and discover and shop from their favorite businesses. Threads is an application for text-based updates and public conversations. Its RL product offerings in VR include Meta Quest devices, and software and content available through the Meta Quest Store, which enable a range of social experiences."
"Tesla, Inc.",TSLA,Consumer Discretionary,Automobiles & Components,2.33,B616C79,US88160R1014,124.80,8.5,27.95,9.19,172.4,--,19.14,"1,338,634",0.08,10/24/2024,0.59,0.59,0.72,20.34,B616C79,TSLA.OQ,Tesla Inc,Consumer Discretionary,Automobiles & Components,Automobile Manufacturers,1385654352403.94,417.41,-3.30,-8.09,-3.06,20.93,59.54,110.94,67.99,67.99,18250671.30,10.84,114.45,128.28,104.05,17.37,0.11,0.00,-135.08,67.17,NULL,2.52,128.13,3.25,"Tesla, Inc. designs, develops, manufactures, sells and leases high-performance fully electric vehicles and energy generation and storage systems, and offers services related to its products. The Company's segments include automotive, and energy generation and storage. The automotive segment includes the design, development, manufacturing, sales and leasing of high-performance fully electric vehicles, and sales of automotive regulatory credits. It also includes sales of used vehicles, non-warranty after-sales vehicle services, body shop and parts, paid supercharging, vehicle insurance and retail merchandise. Its consumer vehicles include the Model 3, Y, S, X and Cybertruck. The energy generation and storage segment includes the design, manufacture, installation, sales and leasing of solar energy generation and energy storage products and related services and sales of solar energy systems incentives. Its lithium-ion battery energy storage products include Powerwall and Megapack."
Alphabet Inc. Class A,GOOGL,Communication Services,Media & Entertainment,2.23,BYVY8G0,US02079K3059,21.31,11.6,27.36,28.05,23.8,0.21,7.47,"2,345,367",0.06,10/30/2024,1.84,1.84,2.12,2.06,BYVY8G0,GOOGL.OQ,Alphabet Inc,Communication Services,Media & Entertainment,Interactive Media & Services,2366658680000.00,191.24,-0.79,-2.23,-1.74,13.32,15.44,5.25,37.40,37.40,10664255.47,32.55,25.05,21.34,40.71,5.86,0.05,0.00,1.03,26.80,0.42,1.06,21.25,8.96,"Alphabet Inc. is a holding company. The Company's segments include Google Services, Google Cloud, and Other Bets. The Google Services segment includes products and services such as ads, Android, Chrome, devices, Google Maps, Google Play, Search, and YouTube. The Google Cloud segment includes infrastructure and platform services, collaboration tools, and other services for enterprise customers. Its Other Bets segment is engaged in the sale of healthcare-related services and Internet services. Its Google Cloud provides enterprise-ready cloud services, including Google Cloud Platform and Google Workspace. Google Cloud Platform provides access to solutions such as cybersecurity, databases, analytics, and artificial intelligence (AI) offerings, including its AI infrastructure, Vertex AI platform, and Duet AI for Google Cloud. Google Workspace includes cloud-based communication and collaboration tools for enterprises, such as Calendar, Gmail, Docs, Drive, Meet and other enterprise services."
Broadcom Inc.,AVGO,Information Technology,Semiconductors & Semiconductor Equipment,2.20,BDZ78H9,US11135F1012,35.93,27.1,13.46,29.57,37.1,0.89,16.31,"1,103,928",0.02,12/13/2024,1.39,1.39,1.42,1.37,BDZ78H9,AVGO.OQ,Broadcom Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,1133168350713.00,235.58,-2.55,-3.99,1.39,45.72,36.91,47.57,113.83,113.83,12491236.67,37.32,184.20,36.31,62.93,12.86,0.05,0.00,0.76,59.29,1.00,1.46,36.32,6.49,"Broadcom Inc. is a global technology company that designs, develops, and supplies a broad range of semiconductors, enterprise software and security solutions. The Company operates through two segments: semiconductor solutions and infrastructure software. The Company's semiconductor solutions segment includes all of its product lines and intellectual property (IP) licensing. It provides semiconductor solutions for managing the movement of data in data center, service provider and enterprise networking applications. Its infrastructure software segment includes its mainframe, distributed and cybersecurity solutions, and its fiber channel storage area networking (FC SAN) business. It provides a portfolio of software solutions that enables customers to plan, develop, automate, manage and secure applications across mainframe, distributed, mobile and cloud platforms. Its product portfolio serves markets, including cloud, data center, networking, broadband, wireless and enterprise software."
Alphabet Inc. Class C,GOOG,Communication Services,Media & Entertainment,1.83,BYY88Y7,US02079K1079,21.47,11.6,27.36,28.05,24.0,0.21,7.52,"2,363,150",0.06,10/30/2024,1.84,1.84,2.12,2.08,BYY88Y7,GOOG.OQ,Alphabet Inc,Communication Services,Media & Entertainment,Interactive Media & Services,2366658680000.00,192.69,-0.70,-2.24,-1.68,13.15,15.38,5.31,37.22,37.22,8141216.80,32.22,25.05,21.58,40.97,5.89,0.05,0.00,1.03,26.63,0.42,NULL,21.64,8.93,"Alphabet Inc. is a holding company. The Company's segments include Google Services, Google Cloud, and Other Bets. The Google Services segment includes products and services such as ads, Android, Chrome, devices, Google Maps, Google Play, Search, and YouTube. The Google Cloud segment includes infrastructure and platform services, collaboration tools, and other services for enterprise customers. Its Other Bets segment is engaged in the sale of healthcare-related services and Internet services. Its Google Cloud provides enterprise-ready cloud services, including Google Cloud Platform and Google Workspace. Google Cloud Platform provides access to solutions such as cybersecurity, databases, analytics, and artificial intelligence (AI) offerings, including its AI infrastructure, Vertex AI platform, and Duet AI for Google Cloud. Google Workspace includes cloud-based communication and collaboration tools for enterprises, such as Calendar, Gmail, Docs, Drive, Meet and other enterprise services."
Berkshire Hathaway Inc. Class B,BRK.B,Financials,Financial Services,1.66,2073390,US0846707026,22.44,--,18.62,13.20,22.9,--,1.55,"975,043",0.63,11/04/2024,4.89,4.89,4.68,--,2073390,BRKb.N,Berkshire Hathaway Inc,Financials,Financial Services,Multi-Sector Holdings,984502858123.66,452.16,-0.95,-1.51,-0.48,-6.39,-1.76,11.15,26.78,26.78,1311513.97,5.00,9.13,22.46,31.11,1.41,-0.01,0.00,0.40,15.74,NULL,NULL,22.38,20.14,"Berkshire Hathaway Inc. and its subsidiaries are engaged in diverse business activities, including insurance and reinsurance, utilities and energy, freight rail transportation, manufacturing, services and retailing. The Company’s segments include Insurance; Railroad (BNSF); Berkshire Hathaway Energy (BHE); Pilot Travel Centers (Pilot); Manufacturing; McLane Company (McLane), and Service and retailing. The Insurance segment includes GEICO, Berkshire Hathaway Primary Group and Berkshire Hathaway Reinsurance Group. The BNSF segment includes operation of railroad systems in North America through Burlington Northern Santa Fe, LLC. The BHE segment offers regulated electric and gas utilities. The Manufacturing segment manufacturers various products, including industrial, consumer and building products. The McLane segment is engaged in wholesale distribution of groceries and non-food items. The Pilot segment is an operator of travel centers in North America and a marketer of wholesale fuel."
