Date,SPX,NDX,SP400,SX5E,CAC,KOSPI,HSCE,EUR,JPY,GBP,CHF,AUD,NZD,SEK,NOK,CAD,BRL,MXN,ZAR,CZK
1/2/2024,4742.83,16543.938,2772.13,4512.81,7530.86,360.55,5672.53,1.0947,141.98,1.2614,0.8499,0.676,0.6252,10.218,10.3426,1.3322,4.9235,17.014,18.5529,22.529
1/3/2024,4704.81,16368.491,2708.80,4448.13,7411.86,351.2,5628.79,1.0921,143.29,1.2662,0.849,0.6729,0.6247,10.2817,10.3263,1.3353,4.9198,17.003,18.7021,22.547
1/4/2024,4688.68,16282.012,2704.04,4474.01,7450.63,348.07,5649.23,1.0943,144.62,1.2679,0.85,0.6705,0.6234,10.2123,10.2915,1.3347,4.8968,17.008,18.6952,22.536
1/5/2024,4697.24,16305.979,2712.50,4463.51,7420.69,347.22,5606.98,1.0941,144.65,1.2716,0.8498,0.6713,0.6239,10.2519,10.2931,1.3362,4.8743,16.866,18.6752,22.505
1/8/2024,4763.54,16649.874,2747.49,4485.48,7450.24,345.58,5480.82,1.0949,144.22,1.2747,0.8479,0.6718,0.6249,10.23,10.3578,1.3345,4.87,16.817,18.5979,22.366
1/9/2024,4756.5,16678.704,2730.51,4467.17,7426.62,343.81,5449.76,1.0931,144.47,1.2705,0.8522,0.6682,0.6237,10.2468,10.3545,1.3389,4.9038,16.961,18.6962,22.469
1/10/2024,4783.45,16793.045,2737.17,4468.98,7426.08,340.66,5421.23,1.0971,145.73,1.2739,0.8508,0.6698,0.6227,10.2252,10.3402,1.3378,4.8909,16.95,18.6774,22.394
1/11/2024,4780.24,16820.901,2730.59,4442.28,7387.62,340.28,5494.48,1.097,145.28,1.276,0.8518,0.6687,0.6232,10.2548,10.3107,1.3391,4.87,16.91,18.6367,22.46
1/12/2024,4783.83,16832.918,2728.63,4480.02,7465.14,338.22,5481.94,1.0949,144.9,1.2751,0.8522,0.6685,0.6242,10.2621,10.2797,1.3408,4.8539,16.861,18.6056,22.461
1/15/2024,4783.83,16832.918,2728.63,4454.68,7411.68,339.24,5446.52,1.0948,145.73,1.2725,0.8554,0.666,0.6199,10.3164,10.3253,1.3424,4.8628,16.877,18.6947,22.539
1/16/2024,4765.98,16830.709,2711.02,4446.51,7398,334.73,5343.3,1.0874,147.18,1.2636,0.8615,0.6583,0.6138,10.4364,10.4637,1.3492,4.9258,17.202,18.9649,22.729
1/17/2024,4739.21,16736.279,2691.79,4403.08,7318.69,326.11,5132.82,1.0881,148.15,1.2672,0.8642,0.655,0.6116,10.4405,10.51,1.3505,4.9349,17.194,19.0518,22.711
1/18/2024,4780.94,16982.289,2713.64,4453.05,7401.35,327.13,5172.05,1.0874,148.15,1.2705,0.868,0.657,0.6114,10.4842,10.5228,1.3485,4.9269,17.146,18.9278,22.769
1/19/2024,4839.81,17314.005,2740.96,4448.83,7371.64,332.99,5127.24,1.0897,148.14,1.27,0.8685,0.6597,0.6109,10.4637,10.4819,1.3429,4.931,17.078,19.0089,22.717
1/22/2024,4850.43,17330.38,2771.77,4480.32,7413.25,332.63,5001.95,1.0881,148.09,1.2706,0.869,0.657,0.6075,10.4545,10.4977,1.3478,4.9892,17.174,19.1966,22.747
1/23/2024,4864.6,17404.206,2761.00,4465.91,7388.04,334.97,5140.93,1.0851,148.36,1.2687,0.8702,0.6578,0.61,10.4799,10.4976,1.346,4.9535,17.3,19.0366,22.895
1/24/2024,4868.55,17499.298,2744.11,4564.11,7455.64,333.27,5353.05,1.0883,147.5,1.2723,0.8627,0.6576,0.611,10.43,10.4559,1.3522,4.9335,17.21,18.8783,22.794
1/25/2024,4894.16,17516.988,2759.99,4582.26,7464.2,333.8,5468.71,1.0846,147.65,1.2708,0.8667,0.6581,0.611,10.4432,10.4293,1.3474,4.9165,17.19,18.8574,22.791
1/26/2024,4890.97,17421.009,2763.77,4635.47,7634.14,334.21,5360.24,1.0852,148.16,1.2702,0.8644,0.6574,0.609,10.4273,10.4071,1.345,4.9168,17.1543,18.7775,22.778
